phase,rank,candidate_key,experiment_id,feature_variant,window_length,stride,negative_to_positive_ratio,positive_class_weight_scale,learning_rate,dropout,rounds,max_train_examples_per_client,heldout_test_attached,validation_precision,validation_recall,validation_f1,validation_pr_auc,validation_fpr,threshold_used,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,test_confusion_matrix,wall_clock_training_seconds,config_path,run_output_root
fast,65,no_constants_no_corr_w64_s16_r20to1_pcw1p0_lr0p003_do0p05,P_C1_OPT_FAST_0065,no_constants_no_corr,64,16,20,1.0,0.003,0.05,10,256,False,0.9156626506024096,0.5891472868217055,0.7169811320754716,0.6550649151751686,0.0010577213659715926,0.5204039812088013,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.854287332993408,configs/same_setup_optimization/fast/proposed_0065_8ef80092eb.yaml,outputs_c1_same_setup_optimization/fast/0065_8ef80092eb
fast,66,no_constants_no_corr_w64_s16_r20to1_pcw0p0_lr0p001_do0p05,P_C1_OPT_FAST_0066,no_constants_no_corr,64,16,20,0.0,0.001,0.05,10,256,False,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.596162272116908,0.0003022061045633122,0.5049265623092651,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.880692958002328,configs/same_setup_optimization/fast/proposed_0066_e0c0c97033.yaml,outputs_c1_same_setup_optimization/fast/0066_e0c0c97033
fast,67,no_constants_no_corr_w64_s16_r20to1_pcw0p0_lr0p005_do0p05,P_C1_OPT_FAST_0067,no_constants_no_corr,64,16,20,0.0,0.005,0.05,10,256,False,0.971830985915493,0.5348837209302325,0.69,0.5813163006063901,0.0003022061045633122,0.49967047572135925,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",11.39765025000088,configs/same_setup_optimization/fast/proposed_0067_bf6a84d602.yaml,outputs_c1_same_setup_optimization/fast/0067_bf6a84d602
fast,68,no_constants_no_corr_w64_s16_r20to1_pcw0p0_lr0p003_do0p0,P_C1_OPT_FAST_0068,no_constants_no_corr,64,16,20,0.0,0.003,0.0,10,256,False,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.5899849846500153,0.0003022061045633122,0.5020769238471985,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",9.795829458002117,configs/same_setup_optimization/fast/proposed_0068_79de176e75.yaml,outputs_c1_same_setup_optimization/fast/0068_79de176e75
fast,69,no_constants_no_corr_w64_s16_r20to1_pcw0p0_lr0p003_do0p1,P_C1_OPT_FAST_0069,no_constants_no_corr,64,16,20,0.0,0.003,0.1,10,256,False,0.9722222222222222,0.5426356589147286,0.6965174129353234,0.5892239969425102,0.0003022061045633122,0.5018593668937683,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",10.70409854099853,configs/same_setup_optimization/fast/proposed_0069_ab17b75cc6.yaml,outputs_c1_same_setup_optimization/fast/0069_ab17b75cc6
fast,70,no_constants_no_corr_w64_s8_r20to1_pcw0p05_lr0p003_do0p05,P_C1_OPT_FAST_0070,no_constants_no_corr,64,8,20,0.05,0.003,0.05,10,256,False,0.9337748344370861,0.55078125,0.6928746928746928,0.596986684858638,0.0007554581853894387,0.5032669305801392,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",13.42118891699647,configs/same_setup_optimization/fast/proposed_0070_546d639875.yaml,outputs_c1_same_setup_optimization/fast/0070_546d639875
fast,71,no_constants_no_corr_w64_s8_r20to1_pcw0p1_lr0p003_do0p05,P_C1_OPT_FAST_0071,no_constants_no_corr,64,8,20,0.1,0.003,0.05,10,256,False,0.9463087248322147,0.55078125,0.6962962962962963,0.5982585203861612,0.000604366548311551,0.5035138130187988,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.146121707999555,configs/same_setup_optimization/fast/proposed_0071_d410910977.yaml,outputs_c1_same_setup_optimization/fast/0071_d410910977
fast,72,no_constants_no_corr_w64_s8_r20to1_pcw0p25_lr0p003_do0p05,P_C1_OPT_FAST_0072,no_constants_no_corr,64,8,20,0.25,0.003,0.05,10,256,False,0.9591836734693877,0.55078125,0.6997518610421837,0.6010490153039499,0.0004532749112336632,0.5039759278297424,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.473911374996533,configs/same_setup_optimization/fast/proposed_0072_3c1f21669a.yaml,outputs_c1_same_setup_optimization/fast/0072_3c1f21669a
fast,73,no_constants_no_corr_w64_s8_r20to1_pcw0p5_lr0p003_do0p05,P_C1_OPT_FAST_0073,no_constants_no_corr,64,8,20,0.5,0.003,0.05,10,256,False,0.9294871794871795,0.56640625,0.7038834951456311,0.623616360315266,0.0008310040039283826,0.5079562664031982,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.496874500000558,configs/same_setup_optimization/fast/proposed_0073_136f937d0c.yaml,outputs_c1_same_setup_optimization/fast/0073_136f937d0c
fast,74,no_constants_no_corr_w64_s8_r20to1_pcw1p0_lr0p003_do0p05,P_C1_OPT_FAST_0074,no_constants_no_corr,64,8,20,1.0,0.003,0.05,10,256,False,0.9182389937106918,0.5703125,0.7036144578313253,0.6345978104547281,0.0009820956410062703,0.5099008083343506,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.434358958002122,configs/same_setup_optimization/fast/proposed_0074_696138f25e.yaml,outputs_c1_same_setup_optimization/fast/0074_696138f25e
fast,75,no_constants_no_corr_w64_s8_r20to1_pcw0p0_lr0p001_do0p05,P_C1_OPT_FAST_0075,no_constants_no_corr,64,8,20,0.0,0.001,0.05,10,256,False,0.9527027027027027,0.55078125,0.698019801980198,0.5993601608700279,0.0005288207297726071,0.5046149492263794,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.56103133400029,configs/same_setup_optimization/fast/proposed_0075_adb4d82b06.yaml,outputs_c1_same_setup_optimization/fast/0075_adb4d82b06
fast,76,no_constants_no_corr_w64_s8_r20to1_pcw0p0_lr0p005_do0p05,P_C1_OPT_FAST_0076,no_constants_no_corr,64,8,20,0.0,0.005,0.05,10,256,False,0.8805031446540881,0.546875,0.6746987951807228,0.5930932295544984,0.0014353705522399335,0.5018779039382935,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",12.52105395799299,configs/same_setup_optimization/fast/proposed_0076_713d412b24.yaml,outputs_c1_same_setup_optimization/fast/0076_713d412b24
fast,77,no_constants_no_corr_w64_s8_r20to1_pcw0p0_lr0p003_do0p0,P_C1_OPT_FAST_0077,no_constants_no_corr,64,8,20,0.0,0.003,0.0,10,256,False,0.9459459459459459,0.546875,0.693069306930693,0.5970958943550987,0.000604366548311551,0.5033431649208069,,,,,metric_unavailable_single_class,metric_unavailable_single_class,,"[[0, 0], [0, 0]]",11.232486708002398,configs/same_setup_optimization/fast/proposed_0077_4afc29ae6b.yaml,outputs_c1_same_setup_optimization/fast/0077_4afc29ae6b
