round,train_loss_local_mean,train_accuracy,train_f1,validation_loss,validation_accuracy,validation_precision,validation_recall,validation_f1,validation_auroc,validation_pr_auc,validation_fpr,test_loss,test_accuracy,test_precision,test_recall,test_f1,test_auroc,test_pr_auc,test_fpr,threshold_used,communication_cost_bytes,validation_accuracy_default_threshold,validation_precision_default_threshold,validation_recall_default_threshold,validation_f1_default_threshold,validation_auroc_default_threshold,validation_pr_auc_default_threshold,validation_fpr_default_threshold,test_accuracy_default_threshold,test_precision_default_threshold,test_recall_default_threshold,test_f1_default_threshold,test_auroc_default_threshold,test_pr_auc_default_threshold,test_fpr_default_threshold,control_variate_communication_cost_bytes,server_control_variate_l2_norm
21,0.6403781293865737,0.9717491014991957,0.7819029592354924,0.2046901285648346,0.9720718407804704,0.7718050317467895,0.9863339637606003,0.8659810380845252,0.9822262707630159,0.7136144600397226,0.029364245652187267,0.18963290750980377,0.9725184875122087,0.7832651777288455,0.9942387770235582,0.8762316509149407,0.9854500287694078,0.7462814436283516,0.029837173046942663,0.08703801780939102,11808,0.9594639847299273,0.7767402376910016,0.7815264474406687,0.7791259921540006,0.9822262707630159,0.7136144600397226,0.022619069558860568,0.9636612250592995,0.7915343915343915,0.8533455022531515,0.8212785814279048,0.9854500287694078,0.7462814436283516,0.024374551483506965,5904,0.041918363342611724
22,0.6348195289553239,0.9719189345963175,0.7835817456147628,0.20425912737846375,0.9722504381216025,0.7739288969917958,0.9841376365078397,0.8664661331041521,0.9829495166768325,0.7136772850222411,0.028946511613620586,0.18970690667629242,0.9726301102274313,0.7846611659678074,0.9926986481090639,0.8765046587761269,0.9853596389322065,0.7447101421392774,0.02954641063076885,0.09611112624406815,11808,0.9598100170783708,0.7775428847547717,0.7853700201329998,0.7814368531277506,0.9829495166768325,0.7136772850222411,0.02262521270648655,0.9638733082182224,0.7917678100263852,0.8558553419656608,0.8225651709108851,0.9853596389322065,0.7447101421392774,0.024411670089827028,5904,0.03763169328638532
23,0.6205136581439935,0.9720564754848317,0.7851309593878752,0.2035834789276123,0.9724178731289138,0.7744642086589634,0.9854798364956379,0.867321735395189,0.9835307491034307,0.7136050821661363,0.02889736643261274,0.1895378828048706,0.9726747593135203,0.7846361793196666,0.9933831498488392,0.8767557770729497,0.9852037062734676,0.742442224148289,0.029571156368315556,0.09938926249742508,11808,0.9600890754238897,0.7775108121095627,0.7897016655481667,0.7835588244196253,0.9835307491034307,0.7136050821661363,0.022754218806632143,0.9640184177480117,0.7915614478114478,0.8582510980548742,0.8235583896658365,0.9852037062734676,0.742442224148289,0.024510653040013857,5904,0.038562661203433914
24,0.611087436940266,0.97210431579388,0.7855934696278865,0.20126712322235107,0.9725574023016732,0.7750239693192713,0.9863339637606003,0.8680035435290328,0.9838727210901655,0.7134970545069176,0.028829791808726954,0.18743041157722473,0.9727026649923259,0.7846590397261508,0.9937254007187268,0.8769033297259206,0.9850573043442888,0.7403672973955597,0.029577342802702234,0.09974738210439682,11808,0.9603402279348566,0.7784775958250855,0.7917759746202184,0.7850704736555563,0.9838727210901655,0.7134970545069176,0.022686644182746355,0.9641356215989954,0.7917914761679542,0.8594489760994809,0.824234135667396,0.9850573043442888,0.7403672973955597,0.024510653040013857,5904,0.03747445748518117
25,0.5965665361881904,0.9720815916470821,0.7857005150238233,0.19919385015964508,0.9726299574715082,0.7753751738025603,0.9866390092123727,0.8683419243986255,0.9839607922993081,0.7132244714050836,0.02878064662771911,0.18561714887619019,0.9726580159062369,0.7843764070238631,0.9937254007187268,0.8767268060692988,0.9848820674412576,0.7381867297894692,0.02962683427779565,0.10260617733001709,11808,0.9604741759407057,0.7779967747715463,0.7947044109572327,0.7862618458381119,0.9839607922993081,0.7132244714050836,0.02283407972576989,0.9641356215989954,0.7911488647684967,0.8606468541440876,0.8244358231790613,0.9848820674412576,0.7381867297894692,0.02464056816213407,5904,0.03837795221025481
26,0.5887305559592649,0.9719607948667348,0.7847317870457091,0.19619356095790863,0.9726243763045977,0.7754964981291375,0.9862729546702459,0.8682761769208046,0.9839689469333175,0.7125905204243808,0.028749930889589208,0.18272195756435394,0.9726412724989535,0.7844241250394126,0.9933831498488392,0.8766233766233766,0.9847035778168209,0.7360292323490477,0.02960827497463562,0.1052204817533493,11808,0.9604462701061538,0.7777645091951277,0.7947044109572327,0.7861432149431183,0.9839689469333175,0.7125905204243808,0.022864795463899794,0.9640853913771452,0.7908976510067114,0.8604186868974959,0.8241947381362184,0.9847035778168209,0.7360292323490477,0.024671500334067457,5904,0.03659266274721238
27,0.5722449344945,0.971881858356805,0.7843514951385067,0.19425107538700104,0.9725071717994799,0.7751644026304421,0.98523580013422,0.8676660219213411,0.9839200478005321,0.7115021699060999,0.028774503480093132,0.1810178905725479,0.9725017441049254,0.783771613832853,0.9928697735440077,0.8760160044288986,0.9845053292552218,0.7336466689737648,0.02970725792482245,0.11055973917245865,11808,0.960552312277451,0.777718200774501,0.7964126654871576,0.7869544248854594,0.9839200478005321,0.7115021699060999,0.02292008379253362,0.9640965536486675,0.790523560209424,0.8612743140722149,0.8243837187081979,0.9845053292552218,0.7336466689737648,0.024751923981094257,5904,0.03741947380831372
28,0.5654691857919167,0.9715852484407049,0.7821845719419843,0.1910017877817154,0.9725797269693147,0.7772731664895159,0.9815142456225978,0.8675348486074038,0.9838482034060815,0.7100169519787914,0.028319910555770565,0.1779022216796875,0.9723901213897028,0.7841658386776262,0.9904169756431465,0.8753056234718827,0.9843377582587219,0.7312565212001871,0.029564969933928882,0.11932670325040817,11808,0.9604295266054227,0.7767660536808904,0.7962906473064486,0.7864071820208471,0.9838482034060815,0.7100169519787914,0.02304294674505323,0.963984930933445,0.7898179154457933,0.8610461468256232,0.8238954234096553,0.9843377582587219,0.7312565212001871,0.024850906931281086,5904,0.03625074589873224
29,0.5480942715049645,0.9716785370433493,0.783538703426085,0.1904636025428772,0.9721332336164845,0.7722365529760199,0.9862729546702459,0.8662290689886135,0.9837760173925068,0.7085733037500233,0.0292905278806755,0.17786550521850586,0.9717650341844566,0.7788659332796709,0.993497233472135,0.8731857719399393,0.9841490993585488,0.7286114605884689,0.030591918042117246,0.1164688840508461,11808,0.9606862602833001,0.7770138106810504,0.7997681654566531,0.7882268053634779,0.9837760173925068,0.7085733037500233,0.023110521368939017,0.9640630668341007,0.789155370177268,0.8633848611031887,0.8246029800332325,0.9841490993585488,0.7286114605884689,0.025017940659721363,5904,0.035460336799980015
30,0.5404262995140128,0.9717849817309819,0.7845708493520962,0.18885990977287292,0.9719992856106354,0.7730721213867281,0.9822463547068513,0.8651960125748985,0.9836771226850852,0.7067993439695881,0.029032515680384317,0.17660938203334808,0.9716422491977117,0.779248160775166,0.99087331013633,0.8724104160912036,0.9839414499292262,0.7256648760787194,0.030443443616837,0.1307755708694458,11808,0.9608871822920736,0.7775871250221881,0.8017814654383503,0.7894989787336297,0.9836771226850852,0.7067993439695881,0.023092091926061074,0.9641412027347566,0.7892488800916763,0.8642975300895557,0.825070108088976,0.9839414499292262,0.7256648760787194,0.025030313528494715,5904,0.03511118355166574
